epoch,loss,lr,output_layer_1_csi133,output_layer_1_csi74,output_layer_1_loss,output_layer_1_pod133,output_layer_1_pod74,output_layer_1_sucr133,output_layer_1_sucr74,output_layer_csi133,output_layer_csi74,output_layer_loss,output_layer_pod133,output_layer_pod74,output_layer_sucr133,output_layer_sucr74,val_loss,val_output_layer_1_csi133,val_output_layer_1_csi74,val_output_layer_1_loss,val_output_layer_1_pod133,val_output_layer_1_pod74,val_output_layer_1_sucr133,val_output_layer_1_sucr74,val_output_layer_csi133,val_output_layer_csi74,val_output_layer_loss,val_output_layer_pod133,val_output_layer_pod74,val_output_layer_sucr133,val_output_layer_sucr74
49,1.2852174028754233,0.001,0.14835769,0.49699396,1.1208922,0.1783643,0.58946586,0.66314316,0.77561426,0.14835769,0.49699396,0.16432515,0.1783643,0.58946586,0.66314316,0.77561426,2.394059667785962,0.28534824,0.55793154,2.1524167,0.3359872,0.7156445,0.6573485,0.7164749,0.28534824,0.55793154,0.24164295,0.3359872,0.7156445,0.6573485,0.7164749
50,1.2821478401621182,0.001,0.15282592,0.5000458,1.118334,0.18576473,0.59539807,0.65369195,0.7727341,0.15282592,0.5000458,0.16381365,0.18576473,0.59539807,0.65369195,0.7727341,2.376135891874631,0.20543809,0.5061659,2.1282682,0.2197618,0.5726595,0.76413506,0.8132075,0.20543809,0.5061659,0.24786763,0.2197618,0.5726595,0.76413506,0.8132075
51,1.2680492424964904,0.001,0.15410206,0.49664658,1.1058583,0.18674877,0.59216785,0.6574663,0.7704874,0.15410206,0.49664658,0.16219093,0.18674877,0.59216785,0.6574663,0.7704874,2.4132169655958813,0.28972173,0.54861146,2.1643605,0.35513383,0.6919835,0.6177513,0.72590286,0.28972173,0.54861146,0.24885625,0.35513383,0.6919835,0.6177513,0.72590286
52,1.253463182747364,0.001,0.15819296,0.50277865,1.094572,0.19251698,0.59885883,0.6567266,0.77357054,0.15819296,0.50277865,0.15889123,0.19251698,0.59885883,0.6567266,0.77357054,2.3909912184874216,0.29110056,0.5548354,2.1539435,0.34578168,0.68582624,0.65122074,0.7434989,0.29110056,0.5548354,0.23704799,0.34578168,0.68582624,0.65122074,0.7434989
53,1.2458927502234776,0.001,0.15819925,0.50684,1.0884669,0.19344634,0.60420537,0.65540564,0.77393246,0.15819925,0.50684,0.15742597,0.19344634,0.60420537,0.65540564,0.77393246,2.417781677444776,0.32192296,0.55886126,2.1750274,0.4108588,0.7044114,0.6017646,0.729544,0.32192296,0.55886126,0.2427544,0.4108588,0.7044114,0.6017646,0.729544
54,1.2391476593414943,0.001,0.16420731,0.51031995,1.0822029,0.19901533,0.605575,0.66236055,0.7783681,0.16420731,0.51031995,0.1569447,0.19901533,0.605575,0.66236055,0.7783681,2.4054375292857486,0.28399834,0.5301786,2.1636302,0.32961386,0.62632775,0.6753917,0.774981,0.28399834,0.5301786,0.24180731,0.32961386,0.62632775,0.6753917,0.774981
55,1.2360484568277994,0.001,0.17085756,0.5122942,1.0816514,0.21022542,0.6109728,0.6486844,0.7745862,0.17085756,0.5122942,0.15439703,0.21022542,0.6109728,0.6486844,0.7745862,2.3960310439268744,0.29175258,0.5579566,2.1567883,0.35414642,0.6971638,0.6286578,0.7358798,0.29175258,0.5579566,0.23924264,0.35414642,0.6971638,0.6286578,0.7358798
56,1.2368787505229313,0.001,0.1602588,0.5080707,1.0802015,0.19722556,0.6054182,0.6632971,0.7757894,0.1602588,0.5080707,0.15667723,0.19722556,0.6054182,0.6632971,0.7757894,2.396286322673162,0.2447925,0.53772944,2.1522026,0.2782023,0.6387838,0.68171287,0.77248454,0.2447925,0.53772944,0.24408385,0.2782023,0.6387838,0.68171287,0.77248454
57,1.2324452980359397,0.001,0.16607083,0.5148377,1.0767955,0.20481701,0.6145431,0.6579906,0.776381,0.16607083,0.5148377,0.15564978,0.20481701,0.6145431,0.6579906,0.776381,2.439838109811147,0.31094885,0.55002785,2.1944377,0.3958276,0.6819788,0.59691155,0.73940367,0.31094885,0.55002785,0.24540035,0.3958276,0.6819788,0.59691155,0.73940367
58,1.2339587142070134,0.001,0.17087314,0.51534903,1.0798814,0.20998108,0.61516595,0.65494794,0.77432793,0.17087314,0.51534903,0.15407717,0.20998108,0.61516595,0.65494794,0.77432793,2.388587576945623,0.21784392,0.5296828,2.1459394,0.23689507,0.6184512,0.7355125,0.78615797,0.21784392,0.5296828,0.24264824,0.23689507,0.6184512,0.7355125,0.78615797
